FDP,FDS,EIP,EDC,LUM,DI,PI,L1,L2,L1W,L2W
0.302556063,0.144952576,0.953222798,0.871562882,0.793875713,0.261634687,0.231827164,3.559631882,1.591616213,346.4668546,173.5980066
0.100999023,0.048291577,0.004837806,0.370497411,0.550869992,0.010884517,0.029930629,1.116310954,0.67401534,87.55636146,52.41742882
0.144488344,0.069663731,0.47182619,0.41557788,0.527815407,0.096715138,0.085055375,1.811142065,0.846305018,168.0774706,84.47521099
0.166269582,0.080486094,0.922812211,0.383469083,0.681580164,0.099583629,0.084875221,2.419075985,1.230620463,228.910395,129.5548658
0.137487236,0.066803913,0.550444187,0.373650343,0.28184329,0.161358295,0.116650941,1.688238204,0.764884609,169.4773565,87.94704996
0.241584433,0.115639576,0.54343852,0.75089877,0.631048502,0.207250567,0.185784535,2.675644902,1.18600204,256.5403065,126.9856783
0.147940458,0.071678174,0.600651708,0.398237768,0.398085071,0.144200846,0.11012127,1.870915295,0.858948331,183.0473688,95.18360711
0.223704591,0.107116084,0.739594533,0.63501429,0.897888473,0.111364973,0.119702048,2.834384992,1.358195593,260.0786231,131.0429584
0.052995561,0.026578143,0.234106317,0.145192882,0.057477546,0.094953026,0.051854144,0.66315762,0.307262536,68.53248972,36.2314131
0.142951404,0.069645658,0.738164478,0.347513498,0.313632043,0.166821367,0.117486043,1.896214491,0.911556606,191.7542347,106.0207456
0.182343899,0.087519755,0.462797739,0.555219591,0.575929768,0.136147873,0.123152512,2.123111137,0.963720618,199.0934165,98.50787283
0.269016512,0.128919473,0.945515217,0.750124841,0.890097819,0.185654823,0.175350308,3.344678993,1.55021482,317.5707561,161.183754
0.262102113,0.126464236,0.723256987,0.788624264,0.025709673,0.41946535,0.309412738,2.655035361,1.22558885,290.4530718,145.9037014
0.181530904,0.088290921,0.787841633,0.47839927,0.100697122,0.285528448,0.199092465,2.121380764,1.010748866,228.7877477,121.4951779
0.013570157,0.007761947,0.112832571,0.031461331,0.017452455,0.046099849,0.010930707,0.240109017,0.1285094,23.93691064,14.92497953
0.301136986,0.144498148,0.821209867,0.902018702,0.479419011,0.346353249,0.282088433,3.276724396,1.424416943,332.709517,165.5166545
0.281570432,0.134951448,0.933423754,0.799670638,0.813955923,0.225231225,0.203117238,3.391920659,1.537126149,326.9593428,164.6852278
0.168392884,0.0803264,0.246632133,0.555006984,0.755090908,0.056101384,0.077505472,1.939056166,0.991456201,167.0942818,85.01206493
0.116053544,0.057193012,0.666266189,0.270292175,0.015040833,0.212944306,0.134024345,1.471814403,0.77281433,162.2284925,93.134965
0.308257574,0.147658524,0.735659697,0.948157131,0.537270017,0.336440271,0.281512363,3.294955576,1.427628539,330.6740375,163.9868453
0.247533628,0.118772636,0.777669219,0.715110137,0.671557359,0.21258681,0.185633329,2.928863117,1.312316245,283.6061415,142.0307714
0.177686855,0.085423474,0.886797517,0.430450092,0.988021592,0.025174925,0.048591146,2.642145601,1.410584435,235.261684,129.4152446
0.232647975,0.111552786,0.488086778,0.733722463,0.458004651,0.242924179,0.203487561,2.470426394,1.07393392,243.7368028,121.0799929
0.170281256,0.081517902,0.35563958,0.536375692,0.662866564,0.08970114,0.09458347,1.990965604,0.951947308,178.9003779,88.77870392
